店舗名,店舗住所,業種
北条のシステム屋 MSAS ,つくば市 北条 132-1,サービス / DPE・印刷・コピー
leeway プライベート整体サロン leeway プライベート整体サロン,つくば市 花畑 3-15-8 サンビレッジ臼井C203,サービス / その他
Ibaraki Enjoy Maranic Labo ,つくば市 神郡 22,サービス / その他
フォレストアドベンチャー・つくば ,つくば市 沼田 1688,サービス / その他
よしや写真館 よしや写真館,つくば市 北条 4297-3,サービス / その他
うさちゃんクリーニング カスミつくば店,つくば市 北条5144 うさちゃんクリーニング,サービス / ハウスクリーニング(衣服洗濯業以外)
旧小林邸ひととき 旧小林邸ひととき,つくば市 筑波937,サービス / ホテル・旅館・レジャー・浴場
青木屋 青木屋,つくば市 筑波753-1,サービス / ホテル・旅館・レジャー・浴場
筑波山江戸屋 筑波山江戸屋 ストア,つくば市 筑波728番地,サービス / ホテル・旅館・レジャー・浴場
筑波山江戸屋 EDOYA x cross,つくば市 筑波728 筑波山江戸屋,サービス / ホテル・旅館・レジャー・浴場
筑波山温泉つくばの湯 筑波山温泉つくばの湯,つくば市 筑波 64-9,サービス / ホテル・旅館・レジャー・浴場
筑波山温泉ホテル一望 筑波山温泉ホテル一望,つくば市 筑波 64番地2 彩香の宿一望,サービス / ホテル・旅館・レジャー・浴場
筑波山京成ホテル 筑波山京成ホテル,つくば市 筑波1,サービス / ホテル・旅館・レジャー・浴場
ヤングガンズ 北条店,つくば市 北条5421-1,サービス / 自動車整備・各種修理
有限会社 東栄自動車 ,つくば市 神郡360−1,サービス / 自動車整備・各種修理
シュエット ,つくば市 筑波 2398-13,サービス / 美容業
Barber Salon Frank Barber Salon Frank,つくば市北条 5348-1,サービス / 美容業
美容室 風雅 ,つくば市 北条 4453-8,サービス / 美容業
Flourish Flourish,つくば市 神郡362-5,医療・保険・公共サービス / 施術所(鍼灸院、治療院、接骨院・整骨院)
ひたち野 ,つくば市 臼井 2103-5,飲食 / 飲食店・喫茶店
筑膳 ,つくば市 沼田 1441-1,飲食 / 飲食店・喫茶店
サンドサンド ,つくば市 沼田 935-6,飲食 / 飲食店・喫茶店
塩梅 塩梅,つくば市 神郡 366-1,飲食 / 飲食店・喫茶店
女体山パーラー店 女体山パーラー,つくば市 筑波 1,飲食 / 飲食店・喫茶店
仲の茶屋 ,つくば市 筑波 1,飲食 / 飲食店・喫茶店
めをと茶屋 ,つくば市 筑波 1,飲食 / 飲食店・喫茶店
日升庵 cafe日升庵,つくば市 筑波 1221-3,飲食 / 飲食店・喫茶店
つつじヶ丘レストハウス店 つつじヶ丘レストハウス 旧,つくば市 筑波 1番地,飲食 / 飲食店・喫茶店
コマ展望台店 コマ展望台 旧,つくば市 筑波 1番地,飲食 / 飲食店・喫茶店
お食事処 神田家 お食事処 神田家,つくば市 筑波 722番,飲食 / 飲食店・喫茶店
自家製麺名無し 自家製麺 名無し,つくば市 北条 4093,飲食 / 飲食店・喫茶店
茶房 佳風 ,つくば市 北条 4462-11,飲食 / 飲食店・喫茶店
食楽酒家 彩菜 ,つくば市 北条 5043-3,飲食 / 飲食店・喫茶店
ヘラディワカレー北条店 ヘラディワカレー北条店,つくば市 北条5124-2,飲食 / 居酒屋・パブ・バー
小沢石油店 小沢石油店 ENEOS北条SS,つくば市 北条 147番地,各種小売 / ガソリンスタンド
筑波観光鉄道 筑波山頂店,つくば市 筑波1,各種小売 / コンビニ
筑波観光鉄道 cafe cielo blu,つくば市 筑波1,各種小売 / コンビニ
筑波観光鉄道 コマ展望台店,つくば市 筑波1,各種小売 / コンビニ
筑波観光鉄道 ケーブルカー みやわき店,つくば市 筑波 1,各種小売 / コンビニ
筑波観光鉄道 つつじヶ丘ガーデンハウス店,つくば市 筑波1,各種小売 / コンビニ
筑波観光鉄道 つつじヶ丘レストハウス店,つくば市 筑波1,各種小売 / コンビニ
筑波山ケーブルカー宮脇売店 宮脇売店 旧,つくば市 筑波1,各種小売 / その他
ケーブルカー山頂売店 ケーブルカー山頂売店 旧,つくば市 筑波1番地,各種小売 / その他
オートi オートi,つくば市 北条 3844-1,各種小売 / その他
東栄自動車 東栄自動車,つくば市 神郡360-1,各種小売 / リサイクル・中古品
かいてき靴 ゲゼレのシュー工房 ストウ かいてき靴ゲゼレのシュー工房ストウ,つくば市 北条 7,各種小売 / 衣服・靴・服飾品・カバン・バッグ
フラワーショップ花仙 カスミ筑波店,つくば市 北条5144,各種小売 / 花・植木・農耕具・ペット
有限会社 宮川生花店 fiore 有限会社 宮川生花店 fiore,つくば市 北条5123-4,各種小売 / 花・植木・農耕具・ペット
稲葉酒造 ,つくば市 沼田 1485,各種小売 / 酒類・リカーショップ
近江屋酒店 ,つくば市 北条 206,各種小売 / 酒類・リカーショップ
神橋亭 ,つくば市 筑波 722,各種小売 / 食品販売店
お土産 神田家 お土産 神田家,つくば市 筑波 722番地,各種小売 / 食品販売店
筑波山縁むすび ,つくば市 筑波1223ー8,各種小売 / 食品販売店
筑波山 観光案内所,つくば市 筑波 1222-2,各種小売 / 食品販売店
筑波山 おもてなし館,つくば市 沼田1688,各種小売 / 食品販売店
吉屋 ,つくば市 北条 88,各種小売 / 食品販売店
万屋巡堂 万屋巡堂,つくば市 北条145,各種小売 / 食品販売店
iriai tempo iriai tempo,つくば市 北条144,各種小売 / 食品販売店
筑波山 つくば観光コンベンション協会,つくば市 筑穂1-10-4 大穂庁舎3階,各種小売 / 食品販売店
つくばねカントリークラブ ,つくば市 神郡 2726番地,娯楽 / ゴルフ場
筑波国際カントリークラブ ,つくば市 平沢 1257,娯楽 / ゴルフ場
つくばわんわんランド つくばわんわんランド,つくば市 沼田 579,娯楽 / テーマパーク・遊園地・水族館・博物館
